grdc	ArcID	lat	lon	river	station
4213804	25728	49.75	-94.75	WINNIPEG RIVER	BELOW LAKE OF THE WOODS OUTLETS
4213890	27017	48.25	-92.25	NAMAKAN RIVER	OUTLET OF LAC LA CROIX
4213911	25300	50.25	-92.75	ENGLISH RIVER	EAR FALLS
4214010	12297	64.25	-99.75	DUBAWNT RIVER	OUTLET OF MARJORIE LAKE
4214025	19983	56.25	-92.75	HAYES RIVER (TRIB. HUDSON BAY)	BELOW GODS RIVER
4214035	18760	57.75	-69.75	AUX MELEZES	PRES DE LA RIVIERE KOKSOAK
4214040	19176	57.25	-69.25	CANIAPISCAU	CHUTE DE LA PYRITE
4214050	12293	64.25	-101.75	THELON RIVER	ABOVE BEVERLY LAKE
4214051	11734	64.75	-97.25	THELON RIVER	BELOW OUTLET OF SCHULTZ LAKE
4214070	16058	60.75	-98.75	THLEWIAZA RIVER	ABOVE OUTLET SEALHOLE LAKE
4214080	22593	53.25	-85.25	ATTAWAPISKAT RIVER	BELOW MUKETEI RIVER
4214090	12871	63.75	-95.75	KAZAN RIVER	ABOVE KAZAN FALLS
4214100	12309	64.25	-93.75	QUOICH RIVER	ABOVE ST. CLAIR FALLS
4214105	17908	58.75	-96.75	SEAL RIVER	BELOW GREAT ISLAND
4214107	17904	58.75	-98.75	NORTH SEAL RIVER	BELOW STONY LAKE
4214210	21644	54.25	-110.75	BEAVER RIVER (TRIB. CHURCHILL RIVER)	COLD LAKE RESERVE
4214261	19146	57.25	-97.25	CHURCHILL RIVER	BELOW FIDLER LAKE
4214262	19968	56.25	-100.25	CHURCHILL RIVER	ABOVE LEAF RAPIDS
4214263	20378	55.75	-102.75	CHURCHILL RIVER	SANDY BAY
4214265	20368	55.75	-107.75	CHURCHILL RIVER	NEAR PATUANAK
4214270	18739	57.75	-95.25	CHURCHILL RIVER	ABOVE RED HEAD RAPIDS
4214285	19962	56.25	-103.25	REINDEER RIVER	ABOVE DEVIL RAPIDS
4214350	21235	54.75	-94.25	GODS RIVER	BELOW ALLEN RAPIDS
4214351	19984	56.25	-92.25	GODS RIVER	NEAR SHAMATTAWA
4214390	22580	53.25	-91.75	SEVERN RIVER (TRIB. HUDSON BAY)	OUTLET OF MUSKRAT DAM LAKE
4214440	20820	55.25	-88.25	SEVERN RIVER (TRIB. HUDSON BAY)	LIMESTONE RAPIDS
4214450	21691	54.25	-87.25	WINISK RIVER	BELOW ASHEWEIG RIVER TRIBUTARY
4214520	24432	51.25	-84.25	ALBANY RIVER	NEAR HAT ISLAND
4214531	25321	50.25	-82.25	MISSINAIBI RIVER	BELOW WABOOSE RIVER
4214550	24882	50.75	-81.25	MOOSE RIVER (TRIB. HUDSON BAY)	MOOSE RIVER CROSSING
4214621	26185	49.25	-77.25	BELL RIVER (TRIB. HUDSON BAY)	EN AMONT DU LAC MATAGAMI
4214650	25763	49.75	-77.25	NOTTAWAY	TETE DU LAC SOSCUMICA
4214670	24893	50.75	-75.75	BROADBACK RIVER	A LA SORTIE DU LAC QUENONISCA
4214680	24447	51.25	-76.75	RUPERT RIVER	EN AVAL DU LAC NEMISCAU
4214700	23527	52.25	-78.25	EASTMAIN RIVER	TETE DE LA GORGE DE BASILE
4214701	23534	52.25	-74.75	EASTMAIN RIVER	A LA TETE DE LA GORGE PROSPER
4214750	22162	53.75	-74.25	GRANDE RIVIERE	EN AMONT DE LA RIVIERE DE PONTOIS
4214760	22615	53.25	-73.75	RIVIERE DE PONTOIS	EN AMONT DE LA RIVIERE SAKAMI
4214770	22153	53.75	-78.75	GRANDE RIVIERE	EN AVAL DE LA RIVIERE ACAZI
4214801	20836	55.25	-76.75	BALEINE, GRANDE RIVIERE DE LA	EN AMONT DE LA RIVIERE DENYS-1
4214900	18764	57.75	-67.75	BALEINE, GRANDE RIVIERE DE LA	PRES DE L'EMBOUCHURE-1
4214930	17051	59.75	-72.25	ARNAUD	EN AMONT DE LA RIVIERE HAMELIN
4214940	17933	58.75	-70.25	FEUILLES (RIVIERE AUX)	EN AVAL DE LA RIVIERE PALADEAU
4214950	18768	57.75	-65.75	GEORGE RIVER	AUX CHUTES HELEN
4215200	26104	49.25	-117.75	COLUMBIA RIVER	BIRCHBANK
4215210	26534	48.75	-117.75	COLUMBIA RIVER	INTERNATIONAL BOUNDARY (CANADA)
4215320	26537	48.75	-116.25	KOOTENAY RIVER	NEAR COPELAND
4215705	25686	49.75	-115.75	KOOTENAY RIVER	WARDNER
4231200	27921	47.25	-68.75	SAINT JOHN RIVER	FORT KENT
4231630	28759	46.25	-67.25	SAINT JOHN RIVER	BELOW MACTAQUAC
4234010	28305	46.75	-84.75	ST. MARYS RIVER (TRIB. LAKE HURON)	SAULT STE. MARIE
4234400	28733	46.25	-80.25	FRENCH RIVER	DRY PINE BAY
4236010	31113	43.25	-79.25	NIAGARA RIVER	QUEENSTON
4243050	28316	46.75	-79.25	OTTAWA RIVER	LA CAVE RAPIDS
4243100	29554	45.25	-76.25	OTTAWA RIVER	CHATS FALLS
4243101	29155	45.75	-74.25	OTTAWA RIVER	AU BARRAGE DE CARILLON
4243240	29560	45.25	-73.25	RICHELIEU (RIVIERE)	RAPIDES FRYERS
4243300	28329	46.75	-72.75	ST. MAURICE (RIVIERE)	CENTRALE DE GRANDE-MERE
4243400	27058	48.25	-71.75	SAGUENAY (RIVIERE)	CENTRALE D'ISLE MALIGNE
4243410	26626	48.75	-71.75	PERIBONCA (RIVIERE)	CENTRALE DE CHUTE-A-LA-SAVANE
4243580	25780	49.75	-68.75	OUTARDES (RIVIERE AUX)	CENTRALE NO.3
4243605	25781	49.75	-68.25	MANICOUAGAN (RIVIERE)	CENTRALE NO.2
4243800	24912	50.75	-66.25	MOISIE (RIVIERE)	ABOVE QNSLR BRIDGE
4244500	22640	53.25	-61.25	CHURCHILL, FLEUVE (LABRADOR)	ABOVE UPPER MUSKRAT FALLS
4244501	22182	53.75	-64.25	CHURCHILL, FLEUVE (LABRADOR)	CHURCHILL FALLS POWERHOUSE
4244635	24921	50.75	-61.75	NATASHQUAN (RIVIERE)	EN AVAL DE LA DECHARGE DU LAC ALIESTE
4244660	24481	51.25	-59.75	LITTLE MECATINA RIVER	EN AMONT DE LA RIVIERE NETAGAMIOU
4351900	42323	26.25	-97.75	RIO GRANDE (US/MX BORDER)	MATAMOROS
4355300	42301	26.25	-108.75	RIO FUERTE	SAN MIGUEL ZAPOTITLAN
4356080	44573	22.25	-105.25	RIO SAN PEDRO	SAN PEDRO
4356100	44859	21.75	-104.75	RIO SANTIAGO	EL CAPOMAL
4356700	47556	16.25	-97.75	RIO VERDE (RIO ATOYAK)	PASO DE LA REYNA
4358300	44871	21.75	-98.75	RIO PANUCO	LAS ADJUNTAS
4359220	46640	18.25	-96.25	RIO PAPALOAPAN	PAPALOAPAN
4362202	46902	17.75	-93.25	RIO SAMARIA	SAMARIA
4362600	47136	17.25	-91.25	RIO USUMACINTA	BOCA DEL CERRO
4462300	47776	15.75	-90.75	CHIXOY	SAN AUGUSTIN
4462700	47137	17.25	-90.75	SAN PEDRO (TRIB. GRIJALVA)	SAN PEDRO MACTUN
4664800	48576	13.75	-88.75	LEMPA	SAN MARCOS
4772300	48773	13.25	-84.75	GRANDE DE MATAGALPA	SAN PEDRO DEL NORTE
4773800	49497	11.25	-84.75	RIO SAN JUAN (NICARAGUA/COSTA RICA)	EL CASTILLO
5101200	60932	-19.75	147.25	BURDEKIN	CLARE
5101301	62253	-23.25	150.25	FITZROY	THE GAP
5104245	64076	-28.75	144.75	PAROO RIVER	CAIWARRO
5109110	60566	-18.75	138.75	GREGORY RIVER	GREGORY DOWNS
5109170	60397	-18.25	143.25	GILBERT RIVER	ROCKFIELDS
5109200	59661	-16.25	142.75	MITCHELL RIVER (N. AU)	KOOLATAH
5141200	56581	-7.25	111.75	SOLO (BENGAWAN SOLO)	BOJONEGORO
5202044	64246	-29.25	152.75	CLARENCE RIVER	LILYDALE (NEWBOLD CROSSING)
5202070	64693	-30.75	152.25	MACLEAY RIVER	TURNERS FLAT
5202102	65228	-32.75	151.25	HUNTER RIVER	GRETA
5204102	65613	-34.75	146.75	MURRUMBIDGEE RIVER	NARRANDERA
5204250	64531	-30.25	145.25	DARLING RIVER	LOUTH
5204251	65435	-33.75	142.25	DARLING RIVER	BURTUNDY
5204255	64384	-29.75	146.25	DARLING RIVER	BOURKE TOWN
5204268	65525	-34.25	141.75	MURRAY	LOCK 9 UPSTREAM (764.8 KM)
5204300	65440	-33.75	144.75	LACHLAN RIVER	BOOLIGAL
5204301	65336	-33.25	148.25	LACHLAN RIVER	FORBES (COTTONS WEIR)
5204400	64970	-31.75	147.75	MACQUAIRIE RIVER	OXLEY STATION
5204452	64238	-29.25	148.75	BARWON RIVER (TRIB. DARLING, MURRAY)	MOGIL MOGIL
5223100	51799	5.75	102.25	KELANTAN	GUILLEMARD BRIDGE
5224500	52468	3.75	102.25	PAHANG	TEMERLOH
5230300	52956	2.25	112.75	RAJANG	KAPIT WHARF
5231700	51989	5.25	117.75	KINABATANGAN	BALAT SABAH
5302229	65927	-37.25	148.25	SNOWY RIVER (SE AU)	JARRAMOND
5302400	65970	-37.75	141.25	GLENELG RIVER	DARTMOOR
5304140	65673	-35.25	143.75	MURRAY	BELOW WAKOOL JUNCTION
5410100	63750	-27.75	140.75	COOPER CREEK	CULLYAMURRA WATER HOLE
5606100	65403	-33.75	115.75	BLACKWOOD RIVER	DARRADUP
5607100	63697	-27.75	114.25	MURCHISON RIVER	EMU SPRINGS
5607200	62712	-24.75	114.25	GASCOYNE RIVER	NUNE MILE BRIDGE
5607400	62001	-22.75	115.75	ASHBURTON RIVER	NANUTARRA
5607450	61428	-21.25	116.75	FORTESCUE RIVER	JIMBEGNYINOO POOL
5607500	61246	-20.75	119.75	DE GREY RIVER	COOLENAR POOL
5608023	60181	-17.75	126.25	FITZROY RIVER	DIMOND GORGE
5608024	60362	-18.25	125.75	FITZROY RIVER	FITZROY CROSSING
5608090	59637	-16.25	128.75	ORD	COOLIBAH POCKET
5608095	60186	-17.75	128.75	ORD	OLD ORD HOMESTEAD
5608500	59272	-15.25	126.75	DRYSDALE	SOLEA FALLS (HORSESHOE)
5708110	59460	-15.75	131.25	VICTORIA RIVER	COOLIBAH HOMESTEAD
5708145	58767	-13.75	131.25	DALY	MOUNT NANCAR
5709100	59115	-14.75	134.25	ROPER RIVER	RED ROCK
5865300	66045	-38.25	175.75	WAIKATO RIVER	NGARUAWAHIA
5868100	66553	-45.75	169.25	CLUTHA	BALCLUTHA
6112090	32583	41.25	-7.75	DUERO	REGUA
6113050	34010	39.25	-8.25	TEJO	ALMOUROL
6116200	34683	38.25	-7.75	GUADIANA	PULO DO LOBO
6122100	26234	49.25	1.75	SEINE	POSES
6122300	26669	48.75	2.25	SEINE	PARIS
6123100	27942	47.25	-0.75	LOIRE	MONTJEAN
6123300	27529	47.75	1.75	LOIRE	BLOIS
6125100	30383	44.25	0.25	GARONNE	MAS-D'AGENAIS
6139100	30776	43.75	4.75	RHONE	BEAUCAIRE
6139390	29197	45.75	4.75	RHONE	LA MULATIERE
6140400	24969	50.75	14.25	ELBE RIVER	DECIN
6142200	27131	48.25	16.75	DANUBE RIVER	BRATISLAVA
6142620	26700	48.75	17.75	VAH	SALA
6211100	31875	42.25	-7.75	MINHO	ORENSE
6212400	32588	41.25	-5.25	DUERO	VILLACHICA
6212420	32232	41.75	-6.25	DUERO	PUENTE PINO
6213700	33667	39.75	-4.75	TEJO	TALAVERA
6213750	33314	40.25	-3.75	JARAMA	ARANJUEZ (P. LARGO)
6217100	35022	37.75	-5.75	GUADALQUIVIR	ALCALA DEL RIO
6226400	32242	41.75	-1.25	EBRO	ZARAGOZA
6226600	32246	41.75	0.75	SEGRE	SEROS
6226650	32245	41.75	0.25	CINCA	FRAGA
6226800	32600	41.25	0.75	EBRO	TORTOSA
6227500	34025	39.25	-0.75	JUCAR	MASIA DE POMPO
6229500	18385	58.25	12.25	GOETA AELV	VARGOENS KRV
6233201	16123	60.75	17.75	DALAELVEN	AELVKARLEBY KRV
6233221	15626	61.25	17.25	LJUSNAN	LJUSNE STROEMMAR KRV
6233301	18393	58.25	16.25	MOTALA STROEM	HOLMEN
6233401	14050	62.75	17.25	INDALSAELVEN	BERGEFORSENS KRV
6233410	17528	59.25	17.75	MAELAREN	OEVRE STOCKHOLM
6233502	12978	63.75	20.25	UMEAELVEN	STORNORRFORS KRV
6233551	14586	62.25	16.75	LJUNGAN	SKALLBOELE KRV
6233650	13517	63.25	17.25	ANGERMANAELVEN	SOLLEFTEA KRV
6233690	11855	64.75	20.75	SKELLEFTEAELVEN	KVISTFORSENS KRV
6233710	10691	65.75	21.25	PITEAELVEN	SIKFORS KRV
6233750	10094	66.25	21.25	LULEAELVEN	BODENS KRV (+ VATTENVERK, TRANGFORS)
6233850	10695	65.75	23.25	KALIXAELVEN	RAEKTFORS
6233901	8927	67.25	23.75	MUONIOAELVEN, MUONIONJOKI	KALLIO 2
6233910	10697	65.75	24.25	TORNEAELVEN, TORNIONJOKI	KUKKOLANKOSKI OEVRE
6242100	27125	48.25	13.75	DANUBE RIVER	LINZ
6242500	27130	48.25	16.25	DANUBE RIVER	WIEN-NUSSDORF
6335070	25389	50.25	7.75	RHINE RIVER	ANDERNACH
6335150	25816	49.75	8.25	RHINE RIVER	MAINZ
6335200	26681	48.75	8.25	RHINE RIVER	MAXAU
6335304	25391	50.25	8.75	MAIN	FRANKFURT A. M. (OSTHAFEN)
6335600	26249	49.25	9.25	NECKAR	ROCKENAU-SKA
6336500	25812	49.75	6.25	MOSELLE RIVER	TRIER UP
6337250	23142	52.75	9.75	ALLER	RETHEM
6337517	23605	52.25	8.75	WESER	LIEBENAU
6340110	22685	53.25	11.25	ELBE RIVER	NEU-DARCHAU
6340160	23611	52.25	11.75	ELBE RIVER	TANGERMUENDE
6340170	24072	51.75	12.25	ELBE RIVER	AKEN
6342500	26686	48.75	10.75	DANUBE RIVER	INGOLSTADT
6342800	26690	48.75	12.75	DANUBE RIVER	HOFKIRCHEN
6342925	26689	48.75	12.25	ISAR	LANDAU
6343100	27122	48.25	12.25	INN	WASSERBURG
6348400	29606	45.25	9.25	PO	PIACENZA
6348800	29610	45.25	11.25	PO	PONTELAGOSCURO
6349500	29210	45.75	11.25	ADIGE	BOARA PISANI
6351500	31904	42.25	12.75	TIBER	ROMA
6357010	23151	52.75	14.25	ODER RIVER	HOHENSAATEN-FINOW AP
6357500	24077	51.75	14.75	ODER RIVER	EISENHUETTENSTADT
6421500	24952	50.75	5.75	MEUSE	BORGHAREN
6435060	24060	51.75	6.25	RHINE	LOBITH
6442500	27563	47.75	18.75	DANUBE RIVER	NAGYMAROS
6444100	28818	46.25	20.25	TISZA	SZEGED
6444200	27984	47.25	20.25	TISZA	SZOLNOK
6457810	23155	52.75	16.25	WARTA	SKWIERZYNA
6458010	22239	53.75	18.75	VISTULA (WISLA)	TCZEW
6458450	25415	50.25	20.75	VISTULA (WISLA)	SZCZUCIN
6458500	24090	51.75	21.25	VISTULA (WISLA)	WARSAW (WARSZAWA)
6458550	23166	52.75	21.75	BUG	WYSZKOW
6458600	25418	50.25	22.25	SAN	RADOMYSL
6458810	22706	53.25	21.75	NAREW	OSTROLEKA
6502100	23113	52.75	-8.25	SHANNON	KILLALOE
6542100	28815	46.25	18.75	DANUBE RIVER	BEZDAN
6542500	30030	44.75	20.75	DANUBE RIVER	PANCEVO
6545050	28808	46.25	15.25	SAVA	CATEZ I
6545800	30028	44.75	19.75	SAVA	SREMSKA MITROVICA
6546610	28394	46.75	15.75	MUR	GORNJA RADGONA
6546800	29223	45.75	17.75	DRAVA	DONJI MIHOLJAC
6547500	30421	44.25	21.25	VELIKA MORAVA	LUBICEVSKY MOST
6607650	24500	51.25	-0.25	THAMES	KINGSTON
6667300	34388	38.75	27.75	GEDIZ	MANISA
6667400	35055	37.75	27.75	BUYUK MENDERES	SOEKE
6688150	32998	40.75	30.25	SAKARYA NEHRI	BOTBASI
6688600	32651	41.25	35.75	KIZILIRMAK	INOEZUEKOSACA
6688650	33011	40.75	36.75	YESILIRMAK	CARSAMBA
6688900	32659	41.25	41.75	CORUHSUYU	KARSIKOEY
6691650	35408	37.25	35.75	CEYHAN NEHRI	YAKAPINAR (MISIS)
6695200	34410	38.75	38.75	EUPHRATES	KEBAN
6695250	33726	39.75	38.75	EUPHRATES	BAGISTAS
6695400	34413	38.75	40.25	MURAT NEHRI	PALU
6730500	5779	70.25	27.75	TANA (NO, FI)	POLMAK
6731310	17073	59.75	10.25	DRAMSELV	DOVIKFOSS
6731400	17075	59.75	11.25	GLAMA	LANGNES
6731401	16111	60.75	11.75	GLAMA	ELVERUM
6742450	30427	44.25	24.25	OLT	STOENESTI
6742700	29242	45.75	27.25	SIRET	LUNGOCI
6742800	30044	44.75	27.75	DANUBE RIVER	HARSOVA
6742900	29644	45.25	28.75	DANUBE	CEATAL IZMAIL
6744200	28821	46.25	21.75	MAROS	ARAD
6744500	27572	47.75	23.25	SZAMOS	SATU MARE
6842400	30808	43.75	23.25	DANUBE RIVER	LOM
6842800	30814	43.75	26.25	DANUBE RIVER	RUSE
6842900	30433	44.25	27.25	DANUBE RIVER	SILISTRA
6854100	15630	61.25	22.75	KOKEMAENJOKI	KALSINKOSI
6854500	11860	64.75	25.75	OULUJOKI	MERISKOSKI (NEAR THE MOUTH)
