grdc	ArcID	lat	lon	river	station
6972135	12447	64.25	34.75	WHITE SEA-BALTIC CANAL	MATKOZH
6972350	17542	59.25	28.25	NARVA JOGI	NARVA (HEP)
6972430	17103	59.75	30.75	NEVA	NOVOSARATOVKA
6972610	15654	61.25	34.75	SVIR	XII GES
6972801	11878	64.75	34.75	KEM (TRIB. WHITE SEA)	PUTKINSKAYA GES
6973300	20484	55.75	26.75	DAUGAVA	DAUGAVPILS
6974150	20907	55.25	23.25	NEMUNAS - NEMAN	SMALININKAI
6975010	18429	58.25	38.75	VOLGA	RYBINSKAYA GES
6975080	20082	56.25	34.75	VOLGA	STARITSA
6975110	20944	55.25	41.75	OKA (TRIB. VOLGA)	MUROM
6975140	21825	54.25	36.75	OKA (TRIB. VOLGA)	KALUGA
6975200	20953	55.25	46.25	SURA (TRIB. VOLGA)	KNYAZHYA
6975500	18440	58.25	44.25	UNZHA	MAKARYEV
6976100	20535	55.75	52.25	KAMA (TRIB. VOLGA)	NABEREZHNYYE CHELNY
6976200	18032	58.75	50.25	VYATKA	KIROV
6976400	20971	55.25	55.25	BELAYA (TRIB. KAMA)	BIRSK
6976450	21413	54.75	56.25	BELAYA (TRIB. KAMA)	UFA
6977100	26754	48.75	44.75	VOLGA	VOLGOGRAD POWER PLANT
6978250	27607	47.75	40.75	DON	RAZDORSKAYA
6978251	25454	50.25	40.25	DON	KAZANSKAYA
6978500	25886	49.75	43.25	MEDVEDITSA (TRIB. DON)	ARCHEDINSKAYA
6979500	23646	52.25	29.25	PRYPYAT	MAZYR (MOZYR)
6979600	24561	51.25	31.25	DESNA	KOLYCHOVKA (CHERNIGOV)
6980300	27588	47.75	31.25	SOUTHERN BUG	ALEKSANDROVKA
6980800	27168	48.25	35.25	DNEPR	DNEPR POWER PLANT
6980801	25435	50.25	30.75	DNEPR	KIEV (KYYIV)
6980802	28011	47.25	33.75	DNEPR	KAKHOVSKOYE VODOKHRANILISHCHE GES
6981800	28421	46.75	29.25	DNIESTR	TIGHINA (BENDERY)
6983355	30058	44.75	39.25	KUBAN	KRASNODAR
6985320	31931	42.25	42.25	RIONI	SAKOCHAKIDZE
6990700	33746	39.75	48.75	KURA	SURRA
5101470	62958	-25.25	151.75	BURNETT RIVER	WALLA
5101500	63613	-27.25	152.75	BRISBANE RIVER	SAVAGES CROSSING
5109151	30392	-18.25	140.75	FLINDERS RIVER	WALKERS BEND
5109161	60393	-18.25	141.25	NORMAN RIVER	GLENORE WEIR
5109210	60568	-18.75	139.75	LEICHHARDT RIVER	FLORAVILLE HOMESTEAD
