"Arc_ID"	"VALUE"
1	339.525300
2	339.525300
3	339.525300
4	339.525300
5	339.525300
6	339.525300
7	339.525300
8	339.525300
9	339.525300
10	339.525300
11	339.525300
12	339.525300
13	339.525300
14	339.525300
15	339.525300
16	339.525300
17	339.525300
18	339.525300
19	339.525300
20	366.556500
21	366.556500
22	366.556500
23	366.556500
24	366.556500
25	366.556500
26	366.556500
27	366.556500
28	366.556500
29	366.556500
30	366.556500
31	366.556500
32	366.556500
33	366.556500
34	366.556500
35	366.556500
36	366.556500
37	366.556500
38	366.556500
39	366.556500
40	366.556500
41	366.556500
42	366.556500
43	366.556500
44	366.556500
45	366.556500
46	366.556500
47	366.556500
48	366.556500
49	366.556500
50	366.556500
51	366.556500
52	366.556500
53	366.556500
54	366.556500
55	366.556500
56	366.556500
57	366.556500
58	366.556500
59	366.556500
60	366.556500
61	366.556500
62	366.556500
63	366.556500
64	366.556500
65	366.556500
66	366.556500
67	366.556500
68	366.556500
69	366.556500
70	393.557600
71	393.557600
72	393.557600
73	393.557600
74	393.557600
75	393.557600
76	393.557600
77	393.557600
78	393.557600
79	393.557600
80	393.557600
81	393.557600
82	393.557600
83	393.557600
84	393.557600
85	393.557600
86	393.557600
87	393.557600
88	393.557600
89	393.557600
90	393.557600
91	393.557600
92	393.557600
93	393.557600
94	393.557600
95	393.557600
96	393.557600
97	393.557600
98	393.557600
99	393.557600
100	393.557600
101	393.557600
102	393.557600
103	393.557600
104	393.557600
105	393.557600
106	393.557600
107	393.557600
108	393.557600
109	393.557600
110	393.557600
111	393.557600
112	393.557600
113	393.557600
114	393.557600
115	393.557600
116	393.557600
117	393.557600
118	393.557600
119	393.557600
120	393.557600
121	393.557600
122	393.557600
123	393.557600
124	393.557600
125	393.557600
126	393.557600
127	393.557600
128	393.557600
129	393.557600
130	393.557600
131	393.557600
132	393.557600
133	393.557600
134	393.557600
135	393.557600
136	393.557600
137	393.557600
138	393.557600
139	393.557600
140	393.557600
141	393.557600
142	393.557600
143	393.557600
144	393.557600
145	393.557600
146	393.557600
147	393.557600
148	393.557600
149	393.557600
150	393.557600
151	393.557600
152	393.557600
153	393.557600
154	393.557600
155	393.557600
156	393.557600
157	393.557600
158	393.557600
159	393.557600
160	393.557600
161	393.557600
162	393.557600
163	393.557600
164	393.557600
165	393.557600
166	393.557600
167	393.557600
168	420.526300
169	420.526300
170	420.526300
171	420.526300
172	420.526300
173	420.526300
174	420.526300
175	420.526300
176	420.526300
177	420.526300
178	420.526300
179	420.526300
180	420.526300
181	420.526300
182	420.526300
183	420.526300
184	420.526300
185	420.526300
186	420.526300
187	420.526300
188	420.526300
189	420.526300
190	420.526300
191	420.526300
192	420.526300
193	420.526300
194	420.526300
195	420.526300
196	420.526300
197	420.526300
198	420.526300
199	420.526300
200	420.526300
201	420.526300
202	420.526300
203	420.526300
204	420.526300
205	420.526300
206	420.526300
207	420.526300
208	420.526300
209	420.526300
210	420.526300
211	420.526300
212	420.526300
213	420.526300
214	420.526300
215	420.526300
216	420.526300
217	420.526300
218	420.526300
219	420.526300
220	420.526300
221	420.526300
222	420.526300
223	420.526300
224	420.526300
225	420.526300
226	420.526300
227	420.526300
228	420.526300
229	420.526300
230	420.526300
